loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,address
15000, 60 months,18.25,382.95,D,D3,Rn,8 years,MORTGAGE,75000,Source Verified,May-16,Fully Paid,debt_consolidation,Debt consolidation,24.43,Apr-95,18,0,41310,59.6,23,w,INDIVIDUAL,2,0,"51321 Joshua Villages Suite 660
West Amandaside, AR 05113"
8000, 36 months,11.67,264.46,B,B4,Client Support Specialist,9 years,OWN,55000,Source Verified,Oct-14,Fully Paid,debt_consolidation,Debt consolidation,25.35,Apr-00,15,0,6725,21.2,36,w,INDIVIDUAL,4,0,"71523 Jamie Cove Suite 930
North Barbara, LA 05113"
14000, 36 months,6.24,427.44,A,A2,Branch Manager,2 years,MORTGAGE,100000,Not Verified,Jul-15,Fully Paid,debt_consolidation,Debt consolidation,19.01,Jan-99,11,0,31612,71.5,29,w,INDIVIDUAL,3,0,"655 Lawrence Ville Apt. 951
West Coleland, MO 05113"
12000, 60 months,8.18,244.36,B,B1,clinical therapist,7 years,MORTGAGE,60000,Source Verified,Apr-15,Charged Off,debt_consolidation,Debt consolidation,20.34,Feb-02,7,0,21750,59.9,20,w,INDIVIDUAL,1,0,"78275 Rodriguez Square
Hallchester, AZ 30723"
15000, 36 months,13.98,512.52,C,C3,Armored Car Guard,3 years,OWN,40000,Not Verified,Oct-14,Fully Paid,debt_consolidation,Debt consolidation,14.55,Jan-06,4,1,9207,51.7,9,w,INDIVIDUAL,0,1,"6360 Claire Motorway
East Shannonchester, AL 05113"
12000, 36 months,12.35,400.59,B,B4,MCSO,6 years,MORTGAGE,38000,Not Verified,Jul-13,Fully Paid,credit_card,Credit card refinancing,10.67,Dec-04,10,0,9537,62.3,14,f,INDIVIDUAL,2,0,"5100 Cantu Burg Apt. 409
Adamland, PA 48052"
35000, 36 months,14.16,1198.94,C,C2,Administrator,9 years,MORTGAGE,118497.84,Verified,Mar-14,Fully Paid,debt_consolidation,Debt consolidation,10.37,Jun-95,8,0,8148,83.1,59,f,INDIVIDUAL,3,0,"578 Smith View Suite 106
Miguelfort, IN 29597"
10000, 36 months,17.56,359.33,D,D1,,,MORTGAGE,32000,Verified,Jul-13,Fully Paid,debt_consolidation,debt consolidation,9.83,Sep-06,6,0,11615,82.4,7,w,INDIVIDUAL,0,0,"965 Spencer Courts
Pacetown, AZ 00813"
15000, 60 months,18.55,385.41,E,E2,Field Biologist,3 years,RENT,50000,Verified,Jul-15,Fully Paid,other,Other,4.22,Dec-03,6,0,8912,47.9,23,f,INDIVIDUAL,3,0,"230 Denise Vista
Carterville, NY 30723"
9000, 36 months,12.35,300.44,B,B4,salt lake city school district,7 years,MORTGAGE,59500,Not Verified,Aug-13,Fully Paid,credit_card,Credit card refinancing,16.98,Jul-94,9,0,25515,91.1,35,f,INDIVIDUAL,4,0,"199 David Lane
South Virginiaberg, ND 70466"
25000, 60 months,22.15,692.61,E,E5,Rural Letter Carrier,10+ years,MORTGAGE,80000,Source Verified,Aug-14,Fully Paid,home_improvement,Home improvement,11.36,Oct-90,13,0,20395,74.4,41,f,INDIVIDUAL,4,0,"0676 Kaiser Bypass
Singhburgh, SD 22690"
5000, 36 months,10.39,118.45,B,B4,self,10+ years,RENT,66000,Not Verified,May-08,Fully Paid,medical,Dental Work,1.56,Dec-01,12,0,15807,20,17,f,INDIVIDUAL,,0,"USS Goodman
FPO AE 22690"
20000, 36 months,7.9,625.81,A,A4,Sr Social Worker,9 years,RENT,76000,Verified,Nov-13,Fully Paid,debt_consolidation,Dept Consolodation/Home Improvement,5.27,Apr-99,10,0,11492,37.4,19,w,INDIVIDUAL,0,0,"973 Carlos Junctions Suite 840
Reneechester, NC 00813"
10000, 60 months,15.99,243.13,D,D2,Truck driver,5 years,RENT,60000,Source Verified,Jan-15,Fully Paid,credit_card,Credit card refinancing,11.78,Dec-01,8,0,9197,73,14,w,INDIVIDUAL,2,0,"5723 Kane Skyway Apt. 920
New Oliviachester, IA 00813"
10000, 36 months,16.07,351.94,D,D5,Taylor Public Schools,10+ years,RENT,61000,Verified,Mar-10,Fully Paid,debt_consolidation,"Want to be debt free in ""3""",17.51,Feb-95,11,0,13834,65.4,19,f,INDIVIDUAL,,0,"3109 Rachel Shores Suite 682
Port Andreaside, AK 05113"
15975, 60 months,24.99,468.8,F,F4,carrier,5 years,MORTGAGE,47000,Verified,Dec-15,Fully Paid,debt_consolidation,Debt consolidation,2.4,May-03,10,0,2049,58.5,23,w,INDIVIDUAL,1,0,"59681 Christopher Lock
North Williamtown, UT 70466"
12000, 60 months,14.99,285.42,C,C5,Attorney,1 year,MORTGAGE,128000,Verified,Nov-14,Fully Paid,debt_consolidation,Debt consolidation,13.95,Oct-02,8,0,7939,42.5,21,w,INDIVIDUAL,2,0,"88359 Howard Landing Apt. 565
Rodriguezton, NE 48052"
9900, 36 months,9.67,317.92,B,B1,Bartender,3 years,RENT,40000,Verified,Dec-13,Fully Paid,credit_card,Moving Forward,19.85,Sep-03,8,0,13398,63,12,f,INDIVIDUAL,0,0,"68278 Henderson Junction Suite 802
Port Georgetown, OK 29597"
3350, 36 months,15.61,117.14,D,D1,Administrative Assistant,10+ years,MORTGAGE,52000,Not Verified,Oct-14,Charged Off,debt_consolidation,Debt consolidation,4.34,Mar-04,4,0,787,34.2,9,w,INDIVIDUAL,1,0,"97848 Roman Circles Suite 098
New Claudiafort, RI 48052"
17000, 60 months,19.19,442.77,E,E3,Bookkeeper,2 years,RENT,50000,Source Verified,Jul-15,Fully Paid,small_business,Business,16.72,Aug-03,14,0,14014,46.7,21,w,INDIVIDUAL,0,0,"308 Silva Centers Suite 208
West Davidview, WI 48052"
6425, 36 months,8.39,202.5,A,A5,Office Administrator,3 years,RENT,33000,Not Verified,Jun-14,Fully Paid,debt_consolidation,Debt consolidation,9.43,Oct-00,13,0,6437,26.9,30,w,INDIVIDUAL,0,0,"5012 Carter Lock Apt. 045
North Robertberg, NE 30723"
7200, 36 months,21,271.27,E,E2,Roofers Local 195,5 years,RENT,30000,Not Verified,May-13,Charged Off,credit_card,Bills,12.8,Nov-04,8,0,8436,86.1,13,f,INDIVIDUAL,0,0,"00014 Rocha Walk
Jacksonstad, MD 93700"
7475, 36 months,12.69,250.75,C,C2,Cleric II,< 1 year,RENT,33000,Verified,Apr-15,Fully Paid,debt_consolidation,Debt consolidation,15.82,Mar-10,20,0,4041,35.8,30,f,INDIVIDUAL,0,0,"1200 Hines Mountains Apt. 494
West Tiffany, MA 70466"
10000, 36 months,13.98,341.68,C,C3,Executive Manager,10+ years,MORTGAGE,55200,Not Verified,Jun-14,Fully Paid,credit_card,Credit card refinancing,23.37,Mar-96,13,0,24493,62.3,27,w,INDIVIDUAL,3,0,"4798 Monica Lock Suite 925
North Michelleberg, SD 00813"
13200, 36 months,10.74,430.53,B,B2,Brookdale University Hospital,1 year,RENT,45000,Source Verified,Mar-12,Fully Paid,debt_consolidation,Honost Consolidation,12.8,May-94,8,0,10665,75.6,10,f,INDIVIDUAL,0,0,"1741 Jackson Street Suite 615
New Jenny, MA 70466"
19000, 36 months,6.68,583.89,A,A3,owner,10+ years,OWN,80000,Not Verified,Mar-15,Fully Paid,debt_consolidation,Debt consolidation,24.63,Jun-96,16,0,26650,49.7,56,f,INDIVIDUAL,6,0,"44296 Victor Plaza Apt. 108
Kimhaven, NM 30723"
11250, 60 months,19.22,293.2,D,D4,Global Account Director,1 year,RENT,135000,Verified,Dec-13,Fully Paid,debt_consolidation,Debt consolidation,10.68,Nov-86,13,0,4944,58.2,26,f,INDIVIDUAL,6,0,"55921 Dean Inlet Suite 937
New Diane, IL 22690"
17800, 60 months,11.49,391.38,B,B4,Dekalb County Fire Rescue,4 years,MORTGAGE,95000,Source Verified,Sep-11,Charged Off,wedding,home expenses,15.63,Jan-01,8,0,27917,77.5,26,f,INDIVIDUAL,,0,"6651 Diana Freeway Suite 777
Leahton, WA 70466"
33000, 60 months,17.27,824.94,C,C5,Medtronic,9 years,MORTGAGE,92000,Verified,Mar-13,Fully Paid,debt_consolidation,Pay the Bills,28.7,Apr-00,12,0,32332,92.6,24,f,INDIVIDUAL,1,0,"43848 Lee Spurs
Mcclainshire, IL 29597"
19000, 36 months,12.12,632.17,B,B3,Broward Sheriff Office,8 years,RENT,48000,Source Verified,Jul-12,Fully Paid,debt_consolidation,Debt Loan,29.76,Jun-94,12,0,30071,46.5,28,f,INDIVIDUAL,0,0,"58673 Foster Freeway
Port Meredithville, NY 22690"
10000, 36 months,16.99,356.48,D,D1,CNA/QMA,7 years,OWN,40000,Not Verified,Jan-14,Charged Off,debt_consolidation,Debt consolidation,14.34,May-03,8,0,7680,64,18,f,INDIVIDUAL,0,0,"519 Dillon Lights Suite 839
Meghanstad, HI 48052"
8050, 36 months,16.55,285.21,D,D2,CNA,4 years,RENT,29500,Not Verified,Mar-15,Charged Off,debt_consolidation,Debt consolidation,28.23,Jan-02,9,0,3327,39.6,12,w,INDIVIDUAL,0,0,"610 Joshua Haven Suite 591
Johnsonside, MN 70466"
9000, 36 months,15.61,314.69,D,D1,Program Manager,6 years,RENT,80000,Source Verified,Mar-15,Fully Paid,car,Car financing,15.51,Sep-94,10,0,6554,76.2,26,f,INDIVIDUAL,0,0,"41919 Philip Walk Apt. 811
Ramosmouth, OH 29597"
7200, 36 months,19.97,267.47,D,D5,Ultrasound Technologist,6 years,RENT,72000,Not Verified,Feb-14,Charged Off,moving,Moving and relocation,15.28,Mar-01,19,0,7176,20.9,43,f,INDIVIDUAL,0,0,"5740 Aaron Mountains Suite 747
Samanthaview, MT 22690"
5600, 36 months,7.89,175.2,A,A5,Mate,5 years,MORTGAGE,63000,Verified,Jun-16,Fully Paid,credit_card,Credit card refinancing,3.2,Sep-12,5,0,5066,46.9,8,f,INDIVIDUAL,1,0,"7762 Leslie Dale
Cynthiaville, NJ 70466"
10000, 36 months,18.25,362.78,D,D3,Lead Technician level 4 ,3 years,RENT,39000,Not Verified,Jan-14,Fully Paid,house,Home buying,28.83,Apr-06,20,0,5540,56.5,26,f,INDIVIDUAL,0,0,"006 Bryan Parks
Kennedyview, CO 22690"
30000, 60 months,24.7,875.28,G,G1,Medtronic,5 years,MORTGAGE,187321,Verified,Jul-12,Fully Paid,debt_consolidation,Debt Consolidation,21.03,Oct-02,21,0,54810,93.4,52,f,INDIVIDUAL,3,0,"25281 Kevin Neck
Armstrongton, TN 29597"
9425, 36 months,13.49,319.8,C,C1,beach house mkt inc,8 years,RENT,45000,Not Verified,Dec-11,Fully Paid,credit_card,credit card refinance loan,15.71,Dec-01,12,0,15116,81.3,31,f,INDIVIDUAL,,0,"983 Young Causeway Suite 575
Fostermouth, KS 30723"
23000, 36 months,8.39,724.89,A,A5,Controller,10+ years,MORTGAGE,80000,Source Verified,Jul-14,Fully Paid,debt_consolidation,Debt consolidation,14.49,May-98,15,0,51791,73.9,34,f,INDIVIDUAL,2,0,"805 Scott Mountain
Port Connie, DC 00813"
18000, 36 months,10.99,589.22,B,B2,Sales Manager,4 years,MORTGAGE,90000,Source Verified,Oct-13,Fully Paid,debt_consolidation,Moving Payoff,17.43,Dec-02,9,0,12038,64.7,16,f,INDIVIDUAL,1,0,"03377 Russell Crescent Suite 154
Port Derekton, DE 00813"
30225, 60 months,18.24,771.47,D,D5,,,MORTGAGE,65800,Verified,Aug-14,Charged Off,debt_consolidation,Debt consolidation,23.87,Mar-99,11,0,14390,69.5,31,w,INDIVIDUAL,1,0,"493 Michael Route
Hillfurt, AZ 70466"
3000, 36 months,7.9,93.88,A,A4,PA Leadership Charter School,< 1 year,RENT,39000,Source Verified,Sep-11,Fully Paid,small_business,Small Business Loan - Gourmet Food Truck,14.86,Nov-03,11,0,1865,26.2,13,f,INDIVIDUAL,,0,"USCGC Hamilton
FPO AA 48052"
5000, 36 months,10.99,163.67,B,B2,Electrician,7 years,RENT,52000,Not Verified,Jan-14,Fully Paid,debt_consolidation,Debt consolidation,16.27,Oct-05,11,0,9855,27.3,19,f,INDIVIDUAL,0,0,"9561 Villa Coves
Haleyfurt, DE 05113"
4000, 36 months,13.33,135.42,C,C3,technician,10+ years,MORTGAGE,75000,Not Verified,Oct-15,Fully Paid,debt_consolidation,Debt consolidation,5.34,May-90,9,0,12663,86,16,f,INDIVIDUAL,0,0,"6755 Wright Shore
Monicatown, NV 70466"
30000, 36 months,16.49,1061.99,D,D3,Sergeant Major,10+ years,RENT,101000,Verified,Nov-14,Fully Paid,debt_consolidation,Debt consolidation,15.76,Jun-03,7,1,6080,76,15,f,INDIVIDUAL,2,1,"2528 Herrera Track Suite 897
Savannahburgh, NY 70466"
12625, 60 months,25.78,376.36,F,F5,Nursing Assistant,7 years,MORTGAGE,43000,Verified,Jul-15,Fully Paid,credit_card,Credit card refinancing,33.88,Aug-03,18,0,19993,55.7,31,w,INDIVIDUAL,1,0,"522 Melissa Village
East Janice, MT 00813"
